id,status,wbs,act_name,duration,start,finish,floor_id
NA.PR020,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Duct Work @ Public Restrooms,10,26-Jan-16,27-Jan-16,PR
NA.PR030,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Mechanical Piping @ Public Restrooms,10,28-Jan-16,4-Feb-16,PR
NA.PR040,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Plumbing @ Public Restrooms,10,1-Feb-16,2-Feb-16,PR
NA.PR050,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Sprinkler @ Public Restrooms,10,21-Jan-16,25-Jan-16,PR
NA.PR060,Not Started,BH.BL-4.115 Nassau1.Floors.4,Rough Electrical/FA/BMS @ Public Restrooms,10,3-Feb-16,3-Feb-16,PR
NA.PR070,Not Started,BH.BL-4.115 Nassau1.Floors.4,Frame Walls & Ceilings @ Public Restrooms,10,8-Feb-16,23-Mar-16,PR
NA.PR080,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Plumbing Frames & Crotons @ Public Restrooms,5,15-Feb-16,16-Feb-16,PR
NA.PR090,Not Started,BH.BL-4.115 Nassau1.Floors.4,Pull Wire @ Public Restrooms,15,17-Feb-16,22-Feb-16,PR
NA.PR100,Not Started,BH.BL-4.115 Nassau1.Floors.4,Firestopping & Inspections @ Public Restrooms,5,23-Feb-16,1-Jun-17,PR
NA.PR110,Not Started,BH.BL-4.115 Nassau1.Floors.4,Sheetrock & Tape Walls & Celings @ Public Restrooms,15,26-Feb-16,1-Mar-16,PR
NA.PR120,Not Started,BH.BL-4.115 Nassau1.Floors.4,Prime Paint @ Public Restrooms,5,,,PR
NA.PR123,Not Started,BH.BL-4.115 Nassau1.Floors.4,Flash Patch Floor @ Public Restrooms,5,2-Mar-16,9-Mar-16,PR
NA.PR130,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Mechanical Finishes @ Public Restrooms,2,14-Apr-16,25-May-16,PR
NA.PR140,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Sprinkler Heads @ Public Restrooms,4,4-Apr-16,7-Apr-16,PR
